play_id,character_chosen,first_elite,damage_taken,floor,victory
6f6159c6-19d8-4369-a405-2b27171aab34,THE_SILENT,Lagavulin,14.0,10.0,True
6fdd94f8-8b71-4d18-8c61-edc92adb25d1,THE_SILENT,Gremlin Nob,3.0,12.0,False
70852b5d-361f-404e-9e10-97340abc4a05,THE_SILENT,Lagavulin,1.0,7.0,False
7089d152-6ae6-4dd3-b844-4fb64731cd56,THE_SILENT,3 Sentries,12.0,13.0,False
71013dcf-caa9-4c6a-a3b3-c4e2fe726c0b,IRONCLAD,Gremlin Nob,34.0,8.0,False
73c5a26d-82ee-4c17-a761-3709b94538f3,DEFECT,Lagavulin,20.0,7.0,True
75e869ee-041f-4dd2-8187-e978db1f6d11,DEFECT,3 Sentries,10.0,7.0,True
76c8992b-c608-478f-8797-4e801594c389,DEFECT,3 Sentries,17.0,6.0,True
76d138b6-c5d9-4881-b7b9-ccac91ae9fa5,IRONCLAD,Gremlin Nob,0.0,6.0,True
76f8be11-967d-45f7-9ed9-b72e91467640,DEFECT,3 Sentries,0.0,6.0,True
78f04c32-1c6c-48d9-a697-ca3d2e5915e5,THE_SILENT,3 Sentries,0.0,7.0,False
79541d23-8c79-4a61-962c-f033e3e28d09,THE_SILENT,3 Sentries,10.0,11.0,False
79b2f366-9151-46cb-b1ea-c927541db0df,IRONCLAD,3 Sentries,10.0,7.0,True
7c3d7d41-df0f-4abd-b577-e9b8f1cade96,WATCHER,Lagavulin,12.0,7.0,True
7caca31b-01b8-4e14-a8bf-986b26242022,THE_SILENT,Lagavulin,0.0,7.0,True
7cda9914-96e1-4181-ab32-af9b23d853a9,DEFECT,Gremlin Nob,6.0,6.0,False
7db7b8b4-5fa0-491b-9120-7ec84fa2fe53,WATCHER,Lagavulin,0.0,6.0,True
7e2f94c6-8075-43c0-8964-736707852f71,THE_SILENT,Lagavulin,5.0,12.0,True
7eee5d08-9c86-46c3-9a32-9629f934a46e,DEFECT,Lagavulin,26.0,6.0,False
80670be1-356c-44b3-8d07-552b04d502f1,THE_SILENT,Lagavulin,22.0,7.0,False
80bfe387-eb34-4349-be81-3b7780d7b7d9,DEFECT,3 Sentries,0.0,6.0,True
823b99ca-8c94-4a14-903f-935329ca465b,WATCHER,Gremlin Nob,29.0,6.0,False
82e3dbfe-efeb-4c1f-bc44-b105d1513e8f,WATCHER,Gremlin Nob,0.0,6.0,True
8396e8a9-2fc4-4c28-b37b-b163269609a7,THE_SILENT,3 Sentries,9.0,10.0,False
85b56403-9c19-4281-8eff-bef71132171d,WATCHER,Lagavulin,18.0,6.0,True
86b5c7f2-38d3-43aa-81c6-25f83ad56115,IRONCLAD,Lagavulin,8.0,8.0,True
87155a19-c09b-4210-8882-fc2ed58c29ec,WATCHER,3 Sentries,20.0,7.0,False
871692ed-1dc1-4566-b06d-515d565fc843,IRONCLAD,Gremlin Nob,28.0,6.0,True
87331d7d-8245-491f-8292-4025cd5b4c91,IRONCLAD,3 Sentries,17.0,7.0,False
87568b73-a56a-498f-b248-839a79a85e1c,IRONCLAD,Gremlin Nob,8.0,11.0,True
882bfb1d-0224-413a-8179-6704325200e9,IRONCLAD,Gremlin Nob,10.0,6.0,True
89935482-ae70-4f99-923c-57dc6454e145,THE_SILENT,Gremlin Nob,21.0,8.0,False
899590a8-681d-4e28-b82e-c6caa4573ed7,WATCHER,Gremlin Nob,0.0,6.0,True
8aa94ffa-5886-4256-a024-04ece874fcca,THE_SILENT,Gremlin Nob,26.0,7.0,True
8b86cfff-a2e9-45e2-b256-5fd0360f047b,DEFECT,Lagavulin,10.0,8.0,False
8c6893b7-2e37-4cde-ad86-3f09149b0511,DEFECT,3 Sentries,20.0,7.0,True
